time,image_url,image_url2
0:00,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:01,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:02,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:03,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:04,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:05,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:06,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:07,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:08,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:09,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:10,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:11,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:12,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:13,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:14,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:15,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:16,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:17,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:18,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:19,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:20,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:21,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:22,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:23,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:24,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:25,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:26,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:27,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:28,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:29,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:30,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:31,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:32,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:33,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:34,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:35,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:36,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:37,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:38,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:39,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:40,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:41,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:42,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:43,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:44,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:45,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:46,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:47,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:48,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:49,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:50,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:51,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:52,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:53,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:54,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:55,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:56,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:57,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:58,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
0:59,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
1:00,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
1:01,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
1:02,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
1:03,https://www.diigo.com/item/p/qqpcbpqzcaberooeqzbdaacccb,https://www.diigo.com/item/p/qqpcbpqzcaberosqpzbdaaccoc
